ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786344807.181,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.9,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.055,0,S3,site_s3,S3,S3,S3
1786344807.181,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.54,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.055,0,S3,site_s3,S3,S3,S3
1786344807.181,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.56,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.055,0,S3,site_s3,S3,S3,S3
1786344807.181,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.52,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.055,0,S3,site_s3,S3,S3,S3
1786344807.181,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.55,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.055,0,S3,site_s3,S3,S3,S3
1786344807.181,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.54,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.055,0,S3,site_s3,S3,S3,S3
1786344808.182,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.106,0,S3,site_s3,S3,S3,S3
1786344808.182,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.106,0,S3,site_s3,S3,S3,S3
1786344808.182,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.106,0,S3,site_s3,S3,S3,S3
1786344808.182,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.106,0,S3,site_s3,S3,S3,S3
1786344808.182,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.106,0,S3,site_s3,S3,S3,S3
1786344808.182,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.106,0,S3,site_s3,S3,S3,S3
1786344809.181,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344809.181,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344809.181,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344809.181,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344809.181,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344809.181,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344810.182,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344810.182,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344810.182,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344810.182,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344810.182,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344810.182,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.097,0,S3,site_s3,S3,S3,S3
1786344811.183,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,50,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.848,0,S3,site_s3,S3,S3,S3
1786344811.183,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,81,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.848,0,S3,site_s3,S3,S3,S3
1786344811.183,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,118,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.848,0,S3,site_s3,S3,S3,S3
1786344811.183,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,50,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.848,0,S3,site_s3,S3,S3,S3
1786344811.183,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,81,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.848,0,S3,site_s3,S3,S3,S3
