ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786305461.845,c1,reserve,,0.0,26.34,13.67,3.65,,1,2.78,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.054,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305461.845,c1,search,,0.0,31.1,20.71,10.98,,1,0.61,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.054,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305461.845,c1,recommend,,0.0,26.76,14.03,4.0,,1,0.5,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.054,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305461.845,c2,reserve,,0.0,26.34,13.67,3.65,,1,0.53,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.054,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305461.845,c2,search,,0.0,31.1,20.71,10.98,,1,0.55,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.054,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305461.845,c2,recommend,,0.0,26.76,14.03,4.0,,1,0.55,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.054,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305462.846,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.106,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305462.846,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.106,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305462.846,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.106,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305462.846,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.106,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305462.846,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.106,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305462.846,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.106,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305463.846,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.098,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305463.846,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.098,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305463.846,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.098,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305463.846,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.098,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305463.846,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.098,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305463.846,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.098,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305464.846,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.096,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305464.846,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.096,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786305464.846,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.096,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
