ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786343236.041,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,389,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,9.585,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343236.041,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,580,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,9.585,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343236.041,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,773,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,9.585,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343237.041,c1,reserve,,0.0,26.34,8.42,3.55,,0,,0,36.0,obs,590,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,8.42,3.55,,9.452,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343237.041,c1,search,,0.0,31.1,7.1,10.72,,0,,0,4474.0,obs,879,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.1,10.72,,9.452,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343237.041,c1,recommend,,0.0,26.76,8.77,3.96,,0,,0,200.0,obs,1175,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.77,3.96,,9.452,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343237.041,c2,reserve,,0.0,26.34,8.42,3.55,,0,,0,36.0,obs,590,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,8.42,3.55,,9.452,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343237.041,c2,search,,0.0,31.1,7.1,10.72,,0,,0,4474.0,obs,879,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.1,10.72,,9.452,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343237.041,c2,recommend,,0.0,26.76,8.77,3.96,,0,,0,200.0,obs,1175,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.77,3.96,,9.452,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343238.041,c1,reserve,,0.0,26.34,7.8,3.66,,0,,0,36.0,obs,587,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.8,3.66,,10.041,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343238.041,c1,search,,0.0,31.1,8.0,10.62,,0,,0,4474.0,obs,884,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,8.0,10.62,,10.041,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
