t_rel_s,n_S1,n_S2,n_S3,n_unjoined,s1_share
0,0,468,331,0,0.000000
1,0,468,334,0,0.000000
2,0,470,330,0,0.000000
3,0,466,333,0,0.000000
4,0,466,334,0,0.000000
5,0,470,330,0,0.000000
6,0,472,326,0,0.000000
7,0,470,333,0,0.000000
8,0,466,332,0,0.000000
9,0,468,334,0,0.000000
10,0,465,333,0,0.000000
11,0,471,331,0,0.000000
12,0,473,327,0,0.000000
13,0,466,332,0,0.000000
14,0,464,337,0,0.000000
15,0,472,329,0,0.000000
16,0,461,339,0,0.000000
17,0,466,332,0,0.000000
18,0,470,331,0,0.000000
19,0,468,331,0,0.000000
20,0,468,332,0,0.000000
21,0,476,325,0,0.000000
22,0,464,335,0,0.000000
23,0,474,329,0,0.000000
24,0,465,333,0,0.000000
25,0,474,326,0,0.000000
26,0,475,323,0,0.000000
27,0,470,331,0,0.000000
28,0,469,333,0,0.000000
29,0,468,333,0,0.000000
30,0,470,327,0,0.000000
31,0,465,336,0,0.000000
32,0,466,333,0,0.000000
33,0,469,332,0,0.000000
34,0,468,331,0,0.000000
35,0,468,332,0,0.000000
36,0,473,327,0,0.000000
37,0,465,336,0,0.000000
38,0,473,329,0,0.000000
39,0,464,333,0,0.000000
40,0,467,333,0,0.000000
41,0,467,334,0,0.000000
42,0,471,329,0,0.000000
43,0,470,329,0,0.000000
44,0,465,333,0,0.000000
45,0,470,331,0,0.000000
46,0,465,336,0,0.000000
47,0,470,333,0,0.000000
48,0,471,327,0,0.000000
49,0,464,336,0,0.000000
50,0,461,340,0,0.000000
51,0,469,330,0,0.000000
52,0,471,331,0,0.000000
53,0,465,334,0,0.000000
54,0,464,333,0,0.000000
55,0,466,335,0,0.000000
56,0,472,328,0,0.000000
57,0,466,335,0,0.000000
58,0,471,328,0,0.000000
59,0,471,331,0,0.000000
60,0,465,335,0,0.000000
61,0,468,330,0,0.000000
62,0,472,328,0,0.000000
63,0,469,332,0,0.000000
64,0,467,333,0,0.000000
65,0,466,334,0,0.000000
66,0,468,332,0,0.000000
67,0,463,338,0,0.000000
68,0,469,331,0,0.000000
69,0,467,333,0,0.000000
70,0,471,329,0,0.000000
71,0,467,331,0,0.000000
72,0,465,338,0,0.000000
73,0,474,324,0,0.000000
74,0,471,331,0,0.000000
75,0,460,335,0,0.000000
76,0,470,334,0,0.000000
77,0,467,333,0,0.000000
78,0,468,332,0,0.000000
79,0,470,330,0,0.000000
80,0,467,331,0,0.000000
81,0,468,333,0,0.000000
82,0,471,327,0,0.000000
83,0,469,333,0,0.000000
