ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly,unit_rate_rps,l_eff_s1,l_eff_s2,l_eff_s3,cap_ok_s1,cap_ok_s2,cap_ok_s3,blocked_by,cap_blocked_sites,soft_applied,carry_s1,carry_s2,carry_s3,soft_overflow_eq,soft_objective_eq,soft_weights
1786367162.207,c2,recommend,,0.0,26.76,14.03,3.9,S3,0,,0,200.0,obs,697,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.9,S3,7.681,0,S3,site_s3,S3,S3,S3,174.0,0.0,0.0,373.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367163.207,c1,reserve,,0.0,26.34,13.67,3.7,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.7,S3,7.871,0,S3,site_s3,S3,S3,S3,86.0,0.0,0.0,23.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367163.207,c1,search,,0.0,31.1,20.71,10.66,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.66,S3,7.871,0,S3,site_s3,S3,S3,S3,130.0,0.0,0.0,153.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367163.207,c1,recommend,,0.0,26.76,14.03,3.93,S3,0,,0,200.0,obs,693,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.93,S3,7.871,0,S3,site_s3,S3,S3,S3,173.0,0.0,0.0,184.7,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367163.207,c2,reserve,,0.0,26.34,13.67,3.7,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.7,S3,7.871,0,S3,site_s3,S3,S3,S3,86.0,0.0,0.0,208.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367163.207,c2,search,,0.0,31.1,20.71,10.66,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.66,S3,7.871,0,S3,site_s3,S3,S3,S3,130.0,0.0,0.0,338.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367163.207,c2,recommend,,0.0,26.76,14.03,3.93,S3,0,,0,200.0,obs,693,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.93,S3,7.871,0,S3,site_s3,S3,S3,S3,173.5,0.0,0.0,369.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367164.207,c1,reserve,,0.0,26.34,13.67,3.64,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.64,S3,7.685,0,S3,site_s3,S3,S3,S3,86.5,0.0,0.0,24.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367164.207,c1,search,,0.0,31.1,20.71,10.91,S3,0,,0,4474.0,obs,521,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.91,S3,7.685,0,S3,site_s3,S3,S3,S3,130.5,0.0,0.0,154.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367164.207,c1,recommend,,0.0,26.76,14.03,3.99,S3,0,,0,200.0,obs,690,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.99,S3,7.685,0,S3,site_s3,S3,S3,S3,172.5,0.0,0.0,185.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
