ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786118540.027,c1,reserve,,0.0,26.34,13.67,3.58,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.58,S3,4.726,0
1786118540.027,c1,search,,0.0,31.1,20.71,10.61,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.61,S3,4.726,0
1786118540.027,c1,recommend,,0.0,26.76,14.03,3.78,S3,0,,0,200.0,obs,688,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.78,S3,4.726,0
1786118540.027,c2,reserve,,0.0,26.34,13.67,3.58,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.58,S3,4.726,0
1786118540.027,c2,search,,0.0,31.1,20.71,10.61,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.61,S3,4.726,0
1786118540.027,c2,recommend,,0.0,26.76,14.03,3.78,S3,0,,0,200.0,obs,688,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.78,S3,4.726,0
1786118541.027,c1,reserve,,0.0,26.34,13.67,3.5,S3,0,,0,36.0,obs,343,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.5,S3,4.7,0
1786118541.027,c1,search,,0.0,31.1,20.71,10.59,S3,0,,0,4474.0,obs,514,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.59,S3,4.7,0
1786118541.027,c1,recommend,,0.0,26.76,14.03,3.71,S3,0,,0,200.0,obs,693,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.71,S3,4.7,0
1786118541.027,c2,reserve,,0.0,26.34,13.67,3.5,S3,0,,0,36.0,obs,343,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.5,S3,4.7,0
1786118541.027,c2,search,,0.0,31.1,20.71,10.59,S3,0,,0,4474.0,obs,514,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.59,S3,4.7,0
1786118541.027,c2,recommend,,0.0,26.76,14.03,3.71,S3,0,,0,200.0,obs,693,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.71,S3,4.7,0
1786118542.027,c1,reserve,,0.0,26.34,13.67,3.59,S3,0,,0,36.0,obs,341,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.59,S3,4.675,0
1786118542.027,c1,search,,0.0,31.1,20.71,10.69,S3,0,,0,4474.0,obs,517,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.69,S3,4.675,0
1786118542.027,c1,recommend,,0.0,26.76,14.03,3.75,S3,0,,0,200.0,obs,691,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.75,S3,4.675,0
1786118542.027,c2,reserve,,0.0,26.34,13.67,3.59,S3,0,,0,36.0,obs,341,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.59,S3,4.675,0
1786118542.027,c2,search,,0.0,31.1,20.71,10.69,S3,0,,0,4474.0,obs,517,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.69,S3,4.675,0
1786118542.027,c2,recommend,,0.0,26.76,14.03,3.75,S3,0,,0,200.0,obs,691,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.75,S3,4.675,0
1786118543.027,c1,reserve,,0.0,26.34,13.67,3.63,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.63,S3,4.676,0
1786118543.027,c1,search,,0.0,31.1,20.71,10.77,S3,0,,0,4474.0,obs,518,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.77,S3,4.676,0
1786118543.027,c1,recommend,,0.0,26.76,14.03,3.85,S3,0,,0,200.0,obs,687,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.85,S3,4.676,0
1786118543.027,c2,reserve,,0.0,26.34,13.67,3.63,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.63,S3,4.676,0
1786118543.027,c2,search,,0.0,31.1,20.71,10.77,S3,0,,0,4474.0,obs,518,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.77,S3,4.676,0
1786118543.027,c2,recommend,,0.0,26.76,14.03,3.85,S3,0,,0,200.0,obs,687,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.85,S3,4.676,0
1786118544.027,c1,reserve,,0.0,26.34,13.67,3.58,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.58,S3,4.739,0
1786118544.027,c1,search,,0.0,31.1,20.71,10.64,S3,0,,0,4474.0,obs,516,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.64,S3,4.739,0
1786118544.027,c1,recommend,,0.0,26.76,14.03,3.76,S3,0,,0,200.0,obs,685,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.76,S3,4.739,0
1786118544.027,c2,reserve,,0.0,26.34,13.67,3.58,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.58,S3,4.739,0
1786118544.027,c2,search,,0.0,31.1,20.71,10.64,S3,0,,0,4474.0,obs,516,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.64,S3,4.739,0
1786118544.027,c2,recommend,,0.0,26.76,14.03,3.76,S3,0,,0,200.0,obs,685,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.76,S3,4.739,0
1786118545.027,c1,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,346,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,4.735,0
1786118545.027,c1,search,,0.0,31.1,20.71,10.63,S3,0,,0,4474.0,obs,514,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.63,S3,4.735,0
1786118545.027,c1,recommend,,0.0,26.76,14.03,3.73,S3,0,,0,200.0,obs,691,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.73,S3,4.735,0
1786118545.027,c2,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,346,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,4.735,0
1786118545.027,c2,search,,0.0,31.1,20.71,10.63,S3,0,,0,4474.0,obs,514,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.63,S3,4.735,0
1786118545.027,c2,recommend,,0.0,26.76,14.03,3.73,S3,0,,0,200.0,obs,691,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.73,S3,4.735,0
1786118546.027,c1,reserve,,0.0,26.34,13.67,3.62,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.62,S3,4.708,0
1786118546.027,c1,search,,0.0,31.1,20.71,10.72,S3,0,,0,4474.0,obs,517,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.72,S3,4.708,0
1786118546.027,c1,recommend,,0.0,26.76,14.03,3.78,S3,0,,0,200.0,obs,694,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.78,S3,4.708,0
1786118546.027,c2,reserve,,0.0,26.34,13.67,3.62,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.62,S3,4.708,0
